State,Population,AreaInSqKm,DensityInSqKm
Uttar Pradesh,199812341,240928,828
Maharastra,1123729,307713,365
Bihar,103804637,94163,1102
West Bengal,91347736,88752,1029
Madya Pradesh,72597565,308245,236
Tamil Nadu,72138958,130058,555
Rajasthan,68621012,342239,2101
Karnataka,61130704,191791,303
Gujarath,60383628,196024,308
Andra Pradesh,49386799,162968,303
Odisa,41947358,155707,269
Telangana,35285757,114840,307
Kerala,33387677,38865859,859
Jharkhand,32966238,79714,414
Assam,31169272,78438,397
Punjab,27704236,50362,550
Chattisghar,25540196,135191,189
Haryana,25353081,44212,573
Jammu And Kashmir,12548926,222236,57
UttarKhand,10116752,53489,183
Himachal Pradesh,686460,255673,123
Tripura,3671032,10486,350
Meghalaya,2964007,22429,132
Manipur,2721756,22327,122
Nagaland,198603,16573,119
Goa,1457723,3702,394
Arunachal Pradesh,1382611,21008,50
Mirorm,1091014,21081,52
Sikkin,607688,7096,86
